device_timestamp_us,host_timestamp_utc,event_type,detector,state,envelope_voltage,marker_id,phase,trial,prescribed_intensity,message
6351459437,2026-09-17T09:08:15.842484+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.014285184860229493,,,,,
6351476881,2026-09-17T09:08:15.856515+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.019090089797973633,,,,,
6351905682,2026-09-17T09:08:16.290370+00:00,PHASE_MARKER,system,,,104,rest,15,strong,
6354960880,2026-09-17T09:08:19.345271+00:00,PHASE_MARKER,system,,,105,prepare,16,strong,
6357947886,2026-09-17T09:08:22.346439+00:00,PHASE_MARKER,system,,,106,contract,16,strong,
6358386262,2026-09-17T09:08:22.766584+00:00,CONTRACTION_START,fixed,ACTIVE,1.16024609375,,,,,
6358386281,2026-09-17T09:08:22.785999+00:00,CONTRACTION_START,adaptive,ACTIVE,1.16024609375,,,,,
6359194565,2026-09-17T09:08:23.574360+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.017008508682250977,,,,,
6359215517,2026-09-17T09:08:23.599105+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.018791488647460938,,,,,
6360031491,2026-09-17T09:08:24.416212+00:00,PHASE_MARKER,system,,,107,rest,16,strong,
6363012459,2026-09-17T09:08:27.408617+00:00,PHASE_MARKER,system,,,108,prepare,17,weak,
6366076136,2026-09-17T09:08:30.460290+00:00,PHASE_MARKER,system,,,109,contract,17,weak,
6366505179,2026-09-17T09:08:30.886278+00:00,CONTRACTION_START,fixed,ACTIVE,1.057878662109375,,,,,
6366505199,2026-09-17T09:08:30.917889+00:00,CONTRACTION_START,adaptive,ACTIVE,1.057878662109375,,,,,
6367376288,2026-09-17T09:08:31.759557+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.024031890869140624,,,,,
6367508826,2026-09-17T09:08:31.889608+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.0217893123626709,,,,,
6368136112,2026-09-17T09:08:32.525486+00:00,PHASE_MARKER,system,,,110,rest,17,weak,
6371208042,2026-09-17T09:08:35.592315+00:00,PHASE_MARKER,system,,,111,prepare,18,weak,
6373220346,2026-09-17T09:08:37.604744+00:00,CONTRACTION_START,fixed,ACTIVE,0.043259048461914064,,,,,
6373635530,2026-09-17T09:08:38.017506+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.022145408630371094,,,,,
6374223737,2026-09-17T09:08:38.609666+00:00,PHASE_MARKER,system,,,112,contract,18,weak,
6374540332,2026-09-17T09:08:38.919473+00:00,CONTRACTION_START,fixed,ACTIVE,1.0079266967773437,,,,,
6374542739,2026-09-17T09:08:38.938383+00:00,CONTRACTION_START,adaptive,ACTIVE,1.0221580810546875,,,,,
6375640534,2026-09-17T09:08:40.026745+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.023975234985351562,,,,,
6375643489,2026-09-17T09:08:40.036507+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.024004352569580077,,,,,
6376274091,2026-09-17T09:08:40.658045+00:00,PHASE_MARKER,system,,,113,rest,18,weak,
6379330602,2026-09-17T09:08:43.725597+00:00,PHASE_MARKER,system,,,114,prepare,19,strong,
6382335239,2026-09-17T09:08:46.720991+00:00,PHASE_MARKER,system,,,115,contract,19,strong,
6382630160,2026-09-17T09:08:47.017756+00:00,CONTRACTION_START,fixed,ACTIVE,0.859095947265625,,,,,
6382633945,2026-09-17T09:08:47.033085+00:00,CONTRACTION_START,adaptive,ACTIVE,0.8582593994140625,,,,,
6383075594,2026-09-17T09:08:47.454766+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.030787588119506836,,,,,
6383516362,2026-09-17T09:08:47.897080+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.02263920211791992,,,,,
6384397765,2026-09-17T09:08:48.781571+00:00,PHASE_MARKER,system,,,116,rest,19,strong,
6387413198,2026-09-17T09:08:51.798089+00:00,PHASE_MARKER,system,,,117,prepare,20,weak,
6390450267,2026-09-17T09:08:54.829064+00:00,PHASE_MARKER,system,,,118,contract,20,weak,
6391032851,2026-09-17T09:08:55.415993+00:00,CONTRACTION_START,fixed,ACTIVE,1.0876666259765626,,,,,
6391035185,2026-09-17T09:08:55.430350+00:00,CONTRACTION_START,adaptive,ACTIVE,1.0892144775390624,,,,,
6391553935,2026-09-17T09:08:55.934669+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.02174936294555664,,,,,
6391937662,2026-09-17T09:08:56.316821+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.013167431831359863,,,,,
6392448108,2026-09-17T09:08:56.840723+00:00,PHASE_MARKER,system,,,119,rest,20,weak,
6395535613,2026-09-17T09:08:59.923862+00:00,PHASE_MARKER,system,,,120,prepare,21,medium,
6398517626,2026-09-17T09:09:02.913592+00:00,PHASE_MARKER,system,,,121,contract,21,medium,
6398802802,2026-09-17T09:09:03.181648+00:00,CONTRACTION_START,fixed,ACTIVE,0.8725126342773437,,,,,
6398804090,2026-09-17T09:09:03.200999+00:00,CONTRACTION_START,adaptive,ACTIVE,0.8939088134765625,,,,,
6399298282,2026-09-17T09:09:03.684623+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.01779781723022461,,,,,
6399354109,2026-09-17T09:09:03.732840+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.015279221534729005,,,,,
6400572044,2026-09-17T09:09:04.964590+00:00,PHASE_MARKER,system,,,122,rest,21,medium,
6403635392,2026-09-17T09:09:08.020768+00:00,PHASE_MARKER,system,,,123,prepare,22,medium,
6406556565,2026-09-17T09:09:10.935147+00:00,CONTRACTION_START,fixed,ACTIVE,0.04291336059570312,,,,,
6406637848,2026-09-17T09:09:11.038000+00:00,PHASE_MARKER,system,,,124,contract,22,medium,
6406988022,2026-09-17T09:09:11.367285+00:00,CONTRACTION_START,adaptive,ACTIVE,1.157974609375,,,,,
6407555586,2026-09-17T09:09:11.934409+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.019873037338256835,,,,,
6407627676,2026-09-17T09:09:12.007870+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.025541416168212892,,,,,
6408720613,2026-09-17T09:09:13.104353+00:00,PHASE_MARKER,system,,,125,rest,22,medium,
6411700913,2026-09-17T09:09:16.098244+00:00,PHASE_MARKER,system,,,126,prepare,23,strong,
6412569251,2026-09-17T09:09:16.958918+00:00,CONTRACTION_START,fixed,ACTIVE,0.07806829071044923,,,,,
6412575086,2026-09-17T09:09:16.979017+00:00,CONTRACTION_START,adaptive,ACTIVE,0.07732421112060547,,,,,
6412807685,2026-09-17T09:09:17.185997+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.010774896621704102,,,,,
6412844906,2026-09-17T09:09:17.223456+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.014736173629760742,,,,,
6414439367,2026-09-17T09:09:18.817652+00:00,CONTRACTION_START,fixed,ACTIVE,0.07092454528808594,,,,,
6414453301,2026-09-17T09:09:18.838329+00:00,CONTRACTION_START,adaptive,ACTIVE,0.06773939514160156,,,,,
6414690580,2026-09-17T09:09:19.069189+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.024952585220336915,,,,,
6414716300,2026-09-17T09:09:19.099756+00:00,PHASE_MARKER,system,,,127,contract,23,strong,
6415092990,2026-09-17T09:09:19.472870+00:00,CONTRACTION_START,adaptive,ACTIVE,0.5825732421875001,,,,,
6415864067,2026-09-17T09:09:20.242707+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.02871700668334961,,,,,
6416005929,2026-09-17T09:09:20.384976+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.02105861282348633,,,,,
6416766432,2026-09-17T09:09:21.153153+00:00,PHASE_MARKER,system,,,128,rest,23,strong,
6419781869,2026-09-17T09:09:24.166995+00:00,PHASE_MARKER,system,,,129,prepare,24,weak,
6420193371,2026-09-17T09:09:24.578556+00:00,CONTRACTION_START,fixed,ACTIVE,0.06930316162109375,,,,,
6420194004,2026-09-17T09:09:24.593850+00:00,CONTRACTION_START,adaptive,ACTIVE,0.06647356414794922,,,,,
6420407879,2026-09-17T09:09:24.786754+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.01982202911376953,,,,,
6420446264,2026-09-17T09:09:24.825322+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.019319454193115235,,,,,
6422835456,2026-09-17T09:09:27.226668+00:00,PHASE_MARKER,system,,,130,contract,24,weak,
6423115372,2026-09-17T09:09:27.493923+00:00,CONTRACTION_START,fixed,ACTIVE,0.04523608779907227,,,,,
6423177000,2026-09-17T09:09:27.556168+00:00,CONTRACTION_START,adaptive,ACTIVE,1.0647757568359375,,,,,
6424083565,2026-09-17T09:09:28.461944+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.01635928535461426,,,,,
6424122685,2026-09-17T09:09:28.501824+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.019681928634643554,,,,,
6424835584,2026-09-17T09:09:29.224760+00:00,PHASE_MARKER,system,,,131,rest,24,weak,
6427828186,2026-09-17T09:09:32.230952+00:00,PHASE_MARKER,system,,,132,prepare,25,strong,
6430835647,2026-09-17T09:09:35.229592+00:00,PHASE_MARKER,system,,,133,contract,25,strong,
6431325051,2026-09-17T09:09:35.727557+00:00,CONTRACTION_START,fixed,ACTIVE,0.07526740264892579,,,,,
6431329620,2026-09-17T09:09:35.746798+00:00,CONTRACTION_START,adaptive,ACTIVE,0.07313961791992188,,,,,
6432025101,2026-09-17T09:09:36.408633+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.024433454513549804,,,,,
6432239088,2026-09-17T09:09:36.617042+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.022649049758911133,,,,,
6432892438,2026-09-17T09:09:37.277435+00:00,PHASE_MARKER,system,,,134,rest,25,strong,
6435947670,2026-09-17T09:09:40.341447+00:00,PHASE_MARKER,system,,,135,prepare,26,strong,
6439035863,2026-09-17T09:09:43.422736+00:00,PHASE_MARKER,system,,,136,contract,26,strong,
6439525297,2026-09-17T09:09:43.907870+00:00,CONTRACTION_START,fixed,ACTIVE,0.09901093292236328,,,,,
6439525310,2026-09-17T09:09:43.921766+00:00,CONTRACTION_START,adaptive,ACTIVE,0.09901093292236328,,,,,
6440242814,2026-09-17T09:09:44.622055+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.016924034118652342,,,,,
6440243494,2026-09-17T09:09:44.632113+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.01694472885131836,,,,,
6441088068,2026-09-17T09:09:45.470758+00:00,PHASE_MARKER,system,,,137,rest,26,strong,
6444078351,2026-09-17T09:09:48.460564+00:00,PHASE_MARKER,system,,,138,prepare,27,weak,
6447135668,2026-09-17T09:09:51.525532+00:00,PHASE_MARKER,system,,,139,contract,27,weak,
6447827940,2026-09-17T09:09:52.215337+00:00,CONTRACTION_START,adaptive,ACTIVE,1.065169921875,,,,,
6447829200,2026-09-17T09:09:52.234264+00:00,CONTRACTION_START,fixed,ACTIVE,1.0714285888671875,,,,,
6448396648,2026-09-17T09:09:52.780575+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.01728265380859375,,,,,
6448398988,2026-09-17T09:09:52.785772+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.01710474395751953,,,,,
6449210407,2026-09-17T09:09:53.593759+00:00,PHASE_MARKER,system,,,140,rest,27,weak,
6452198740,2026-09-17T09:09:56.583260+00:00,PHASE_MARKER,system,,,141,prepare,28,strong,
6455211562,2026-09-17T09:09:59.602206+00:00,PHASE_MARKER,system,,,142,contract,28,strong,
6455809610,2026-09-17T09:10:00.191315+00:00,CONTRACTION_START,adaptive,ACTIVE,0.04285478591918945,,,,,
6455820064,2026-09-17T09:10:00.212735+00:00,CONTRACTION_START,fixed,ACTIVE,0.047975807189941405,,,,,
6456537664,2026-09-17T09:10:00.915745+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.013420422554016114,,,,,
